input[45]:1| output[0]:1
input[615]:1| output[190]:1
input[618]:1| output[191]:1
input[621]:1| output[192]:1
input[624]:0| output[193]:0
input[627]:1| output[194]:1
input[630]:1| output[195]:1
input[633]:0| output[196]:0
input[636]:1| output[197]:1
input[639]:1| output[198]:1
input[642]:0| output[199]:0
input[645]:1| output[200]:1
input[648]:1| output[201]:1
input[651]:1| output[202]:1
input[654]:0| output[203]:0
input[657]:0| output[204]:0
input[660]:0| output[205]:0
input[663]:1| output[206]:1
input[666]:0| output[207]:0
input[669]:0| output[208]:0
input[672]:0| output[209]:0
input[675]:1| output[210]:1
input[678]:1| output[211]:1
input[681]:1| output[212]:1
input[684]:1| output[213]:1
input[687]:0| output[214]:0
input[690]:1| output[215]:1
input[693]:1| output[216]:1
input[696]:1| output[217]:1
input[699]:0| output[218]:0
input[702]:1| output[219]:1
input[705]:1| output[220]:1
input[708]:1| output[221]:1
input[711]:1| output[222]:1
input[714]:1| output[223]:1
input[717]:1| output[224]:1
input[720]:0| output[225]:0
input[723]:1| output[226]:1
input[726]:1| output[227]:1
input[729]:1| output[228]:1
input[732]:0| output[229]:0
input[735]:0| output[230]:0
input[738]:0| output[231]:0
input[741]:1| output[232]:1
input[744]:1| output[233]:1
input[747]:1| output[234]:1
input[750]:1| output[235]:1
input[753]:1| output[236]:1
input[756]:0| output[237]:0
input[759]:1| output[238]:1
input[762]:0| output[239]:0
input[765]:0| output[240]:0
input[768]:0| output[241]:0
input[771]:0| output[242]:0
input[774]:1| output[243]:1
input[777]:1| output[244]:1
input[780]:0| output[245]:0
input[783]:0| output[246]:0
input[786]:1| output[247]:1
input[789]:0| output[248]:0
input[792]:0| output[249]:0
input[795]:1| output[250]:1
input[798]:1| output[251]:1
input[801]:0| output[252]:0
input[804]:1| output[253]:1
input[807]:1| output[254]:1
input[810]:1| output[255]:1
input[813]:0| output[256]:0
input[816]:0| output[257]:0
input[819]:1| output[258]:1
input[822]:1| output[259]:1
input[825]:1| output[260]:1
input[828]:0| output[261]:0
input[831]:1| output[262]:1
input[834]:1| output[263]:1
input[837]:1| output[264]:1
input[840]:0| output[265]:0
input[843]:0| output[266]:0
input[846]:0| output[267]:0
input[849]:0| output[268]:0
input[852]:1| output[269]:1
input[855]:0| output[270]:0
input[858]:1| output[271]:1
input[861]:0| output[272]:0
input[864]:0| output[273]:0
input[867]:0| output[274]:0
input[870]:1| output[275]:1
input[873]:0| output[276]:0
input[876]:0| output[277]:0
input[879]:1| output[278]:1
input[882]:0| output[279]:0
input[885]:0| output[280]:0
input[888]:0| output[281]:0
input[891]:1| output[282]:1
input[894]:1| output[283]:1
input[897]:1| output[284]:1
input[900]:0| output[285]:0
input[903]:1| output[286]:1
input[906]:0| output[287]:0
input[909]:1| output[288]:1
input[912]:1| output[289]:1
input[915]:1| output[290]:1
input[918]:1| output[291]:1
input[921]:1| output[292]:1
input[924]:1| output[293]:1
input[927]:0| output[294]:0
input[930]:1| output[295]:1
input[933]:1| output[296]:1
input[936]:1| output[297]:1
input[939]:0| output[298]:0
input[942]:0| output[299]:0
input[945]:1| output[300]:1
input[948]:0| output[301]:0
input[951]:0| output[302]:0
input[954]:1| output[303]:1
input[957]:1| output[304]:1
input[960]:0| output[305]:0
input[963]:1| output[306]:1
input[966]:0| output[307]:0
input[969]:1| output[308]:1
input[972]:0| output[309]:0
input[975]:1| output[310]:1
input[978]:0| output[311]:0
input[981]:1| output[312]:1
input[984]:1| output[313]:1
input[987]:0| output[314]:0
input[990]:1| output[315]:1
input[993]:0| output[316]:0
input[996]:1| output[317]:1
input[999]:1| output[318]:1
input[1002]:0| output[319]:0
input[1005]:0| output[320]:0
input[1008]:1| output[321]:1
input[1011]:1| output[322]:1
input[1014]:1| output[323]:1
input[1017]:0| output[324]:0
input[1020]:1| output[325]:1
input[1023]:0| output[326]:0
input[2]:1| output[327]:1
input[5]:0| output[328]:0
input[8]:1| output[329]:1
input[11]:1| output[330]:1
input[14]:0| output[331]:0
input[17]:0| output[332]:0
input[20]:0| output[333]:0
input[23]:1| output[334]:1
input[26]:1| output[335]:1
input[29]:0| output[336]:0
input[32]:1| output[337]:1
input[35]:0| output[338]:0
input[38]:1| output[339]:1
input[41]:1| output[340]:1
input[44]:0| output[341]:0
input[47]:1| output[342]:1
input[50]:1| output[343]:1
input[53]:0| output[344]:0
input[56]:0| output[345]:0
input[59]:0| output[346]:0
input[62]:1| output[347]:1
input[65]:0| output[348]:0
input[68]:1| output[349]:1
input[71]:0| output[350]:0
input[74]:1| output[351]:1
input[77]:1| output[352]:1
input[80]:0| output[353]:0
input[83]:0| output[354]:0
input[86]:0| output[355]:0
input[89]:0| output[356]:0
input[92]:0| output[357]:0
input[95]:1| output[358]:1
input[98]:0| output[359]:0
input[101]:0| output[360]:0
input[104]:0| output[361]:0
input[107]:0| output[362]:0
input[110]:0| output[363]:0
input[113]:1| output[364]:1
input[116]:0| output[365]:0
input[119]:0| output[366]:0
input[122]:1| output[367]:1
input[125]:0| output[368]:0
input[128]:1| output[369]:1
input[131]:0| output[370]:0
input[134]:1| output[371]:1
input[137]:1| output[372]:1
input[140]:1| output[373]:1
input[143]:0| output[374]:0
input[146]:1| output[375]:1
input[149]:1| output[376]:1
input[152]:0| output[377]:0
input[155]:1| output[378]:1
input[158]:1| output[379]:1
input[161]:1| output[380]:1
input[164]:0| output[381]:0
input[167]:0| output[382]:0
input[170]:1| output[383]:1
input[173]:1| output[384]:1
input[176]:1| output[385]:1
input[179]:1| output[386]:1
input[182]:1| output[387]:1
input[185]:1| output[388]:1
input[188]:1| output[389]:1
input[191]:1| output[390]:1
input[194]:0| output[391]:0
input[197]:0| output[392]:0
input[200]:0| output[393]:0
input[203]:0| output[394]:0
input[206]:0| output[395]:0
input[209]:1| output[396]:1
input[212]:1| output[397]:1
input[215]:0| output[398]:0
input[218]:0| output[399]:0
input[221]:0| output[400]:0
input[224]:0| output[401]:0
input[227]:0| output[402]:0
input[230]:0| output[403]:0
input[233]:0| output[404]:0
input[236]:0| output[405]:0
input[239]:1| output[406]:1
input[242]:1| output[407]:1
input[245]:1| output[408]:1
input[248]:0| output[409]:0
input[251]:0| output[410]:0
input[254]:0| output[411]:0
input[257]:1| output[412]:1
input[260]:0| output[413]:0
input[263]:1| output[414]:1
input[266]:1| output[415]:1
input[269]:0| output[416]:0
input[272]:0| output[417]:0
input[275]:0| output[418]:0
input[278]:0| output[419]:0
input[281]:0| output[420]:0
input[284]:1| output[421]:1
input[287]:1| output[422]:1
input[290]:1| output[423]:1
input[293]:0| output[424]:0
input[296]:0| output[425]:0
input[299]:0| output[426]:0
input[302]:0| output[427]:0
input[305]:0| output[428]:0
input[308]:0| output[429]:0
input[311]:1| output[430]:1
input[314]:0| output[431]:0
input[317]:1| output[432]:1
input[320]:0| output[433]:0
input[323]:1| output[434]:1
input[326]:1| output[435]:1
input[329]:0| output[436]:0
input[332]:0| output[437]:0
input[335]:0| output[438]:0
input[338]:1| output[439]:1
input[341]:0| output[440]:0
input[344]:1| output[441]:1
input[347]:1| output[442]:1
input[350]:0| output[443]:0
input[353]:1| output[444]:1
input[356]:0| output[445]:0
input[359]:1| output[446]:1
input[362]:1| output[447]:1
input[365]:0| output[448]:0
input[368]:0| output[449]:0
input[371]:0| output[450]:0
input[374]:1| output[451]:1
input[377]:0| output[452]:0
input[380]:1| output[453]:1
input[383]:0| output[454]:0
input[386]:0| output[455]:0
input[389]:0| output[456]:0
input[392]:0| output[457]:0
input[395]:0| output[458]:0
input[398]:1| output[459]:1
input[401]:1| output[460]:1
input[404]:1| output[461]:1
input[407]:1| output[462]:1
input[410]:0| output[463]:0
input[413]:0| output[464]:0
input[416]:1| output[465]:1
input[419]:0| output[466]:0
input[422]:1| output[467]:1
input[425]:1| output[468]:1
input[428]:1| output[469]:1
input[431]:0| output[470]:0
input[434]:1| output[471]:1
input[437]:1| output[472]:1
input[440]:0| output[473]:0
input[443]:0| output[474]:0
input[446]:1| output[475]:1
input[449]:0| output[476]:0
input[452]:0| output[477]:0
input[455]:0| output[478]:0
input[458]:0| output[479]:0
input[461]:0| output[480]:0
input[464]:0| output[481]:0
input[467]:1| output[482]:1
input[470]:1| output[483]:1
input[473]:1| output[484]:1
input[476]:0| output[485]:0
input[479]:1| output[486]:1
input[482]:1| output[487]:1
input[485]:1| output[488]:1
input[488]:0| output[489]:0
input[491]:1| output[490]:1
input[494]:0| output[491]:0
input[497]:1| output[492]:1
input[500]:0| output[493]:0
input[503]:0| output[494]:0
input[506]:0| output[495]:0
input[509]:0| output[496]:0
input[512]:1| output[497]:1
input[515]:1| output[498]:1
input[518]:1| output[499]:1
input[521]:1| output[500]:1
input[524]:1| output[501]:1
input[527]:0| output[502]:0
input[530]:1| output[503]:1
input[533]:1| output[504]:1
input[536]:0| output[505]:0
input[539]:1| output[506]:1
input[542]:0| output[507]:0
input[545]:0| output[508]:0
input[548]:1| output[509]:1
input[551]:1| output[510]:1
input[554]:1| output[511]:1
input[557]:1| output[512]:1
input[560]:0| output[513]:0
input[563]:1| output[514]:1
input[566]:1| output[515]:1
input[569]:1| output[516]:1
input[572]:1| output[517]:1
input[575]:1| output[518]:1
input[578]:1| output[519]:1
input[581]:0| output[520]:0
input[584]:1| output[521]:1
input[587]:1| output[522]:1
input[590]:0| output[523]:0
input[593]:0| output[524]:0
input[596]:0| output[525]:0
input[599]:1| output[526]:1
input[602]:1| output[527]:1
input[605]:1| output[528]:1
input[608]:0| output[529]:0
input[611]:0| output[530]:0
input[614]:0| output[531]:0
input[617]:0| output[532]:0
input[620]:0| output[533]:0
input[623]:0| output[534]:0
input[626]:0| output[535]:0
input[629]:0| output[536]:0
input[632]:1| output[537]:1
input[635]:1| output[538]:1
input[638]:0| output[539]:0
input[641]:1| output[540]:1
input[644]:0| output[541]:0
input[647]:0| output[542]:0
input[650]:0| output[543]:0
input[653]:0| output[544]:0
input[656]:0| output[545]:0
input[659]:0| output[546]:0
input[662]:1| output[547]:1
input[665]:1| output[548]:1
input[668]:0| output[549]:0
input[671]:0| output[550]:0
input[674]:1| output[551]:1
input[677]:1| output[552]:1
input[680]:0| output[553]:0
input[683]:0| output[554]:0
input[686]:0| output[555]:0
input[689]:1| output[556]:1
input[692]:0| output[557]:0
input[695]:0| output[558]:0
input[698]:1| output[559]:1
input[701]:0| output[560]:0
input[704]:0| output[561]:0
input[707]:0| output[562]:0
input[710]:1| output[563]:1
input[713]:0| output[564]:0
input[716]:0| output[565]:0
input[719]:1| output[566]:1
input[722]:0| output[567]:0
input[725]:0| output[568]:0
input[728]:0| output[569]:0
input[731]:1| output[570]:1
input[734]:1| output[571]:1
input[737]:0| output[572]:0
input[740]:0| output[573]:0
input[743]:0| output[574]:0
input[746]:1| output[575]:1
input[749]:0| output[576]:0
input[752]:0| output[577]:0
input[755]:0| output[578]:0
input[758]:1| output[579]:1
input[761]:0| output[580]:0
input[764]:0| output[581]:0
input[767]:1| output[582]:1
input[770]:0| output[583]:0
input[773]:0| output[584]:0
input[776]:1| output[585]:1
input[779]:1| output[586]:1
input[782]:0| output[587]:0
input[785]:1| output[588]:1
input[788]:0| output[589]:0
input[791]:0| output[590]:0
input[794]:0| output[591]:0
input[797]:0| output[592]:0
input[800]:0| output[593]:0
input[803]:0| output[594]:0
input[806]:1| output[595]:1
input[809]:0| output[596]:0
input[812]:0| output[597]:0
input[815]:0| output[598]:0
input[818]:0| output[599]:0
input[821]:0| output[600]:0
input[824]:0| output[601]:0
input[827]:1| output[602]:1
input[830]:1| output[603]:1
input[833]:0| output[604]:0
input[836]:1| output[605]:1
input[839]:0| output[606]:0
input[842]:1| output[607]:1
input[845]:1| output[608]:1
input[848]:0| output[609]:0
input[851]:1| output[610]:1
input[854]:1| output[611]:1
input[857]:0| output[612]:0
input[860]:1| output[613]:1
input[863]:1| output[614]:1
input[866]:0| output[615]:0
input[869]:0| output[616]:0
input[872]:0| output[617]:0
input[875]:0| output[618]:0
input[878]:1| output[619]:1
input[881]:0| output[620]:0
input[884]:1| output[621]:1
input[887]:0| output[622]:0
input[890]:0| output[623]:0
input[893]:1| output[624]:1
input[896]:0| output[625]:0
input[899]:1| output[626]:1
input[902]:1| output[627]:1
input[905]:1| output[628]:1
input[908]:1| output[629]:1
input[911]:0| output[630]:0
input[914]:0| output[631]:0
input[917]:1| output[632]:1
input[920]:0| output[633]:0
input[923]:1| output[634]:1
input[926]:1| output[635]:1
input[929]:1| output[636]:1
input[932]:1| output[637]:1
input[935]:0| output[638]:0
input[938]:0| output[639]:0
input[941]:1| output[640]:1
input[944]:0| output[641]:0
input[947]:1| output[642]:1
input[950]:0| output[643]:0
input[953]:1| output[644]:1
input[956]:0| output[645]:0
input[959]:1| output[646]:1
input[962]:1| output[647]:1
input[965]:0| output[648]:0
input[968]:1| output[649]:1
input[971]:0| output[650]:0
input[974]:0| output[651]:0
input[977]:0| output[652]:0
input[980]:0| output[653]:0
input[983]:1| output[654]:1
input[986]:1| output[655]:1
input[989]:1| output[656]:1
input[992]:1| output[657]:1
input[995]:1| output[658]:1
input[998]:0| output[659]:0
input[1001]:0| output[660]:0
input[1004]:0| output[661]:0
input[1007]:0| output[662]:0
input[1010]:1| output[663]:1
input[1013]:1| output[664]:1
input[1016]:0| output[665]:0
input[1019]:0| output[666]:0
input[1022]:1| output[667]:1
input[1]:1| output[668]:1
input[4]:1| output[669]:1
input[7]:1| output[670]:1
input[10]:0| output[671]:0
input[13]:1| output[672]:1
input[16]:1| output[673]:1
input[19]:1| output[674]:1
input[22]:1| output[675]:1
input[25]:0| output[676]:0
input[28]:1| output[677]:1
input[31]:0| output[678]:0
input[34]:1| output[679]:1
input[37]:0| output[680]:0
input[40]:0| output[681]:0
input[43]:0| output[682]:0
input[46]:1| output[683]:1
input[49]:0| output[684]:0
input[52]:0| output[685]:0
input[55]:0| output[686]:0
input[58]:1| output[687]:1
input[61]:0| output[688]:0
input[64]:1| output[689]:1
input[67]:0| output[690]:0
input[70]:1| output[691]:1
input[73]:0| output[692]:0
input[76]:0| output[693]:0
input[79]:1| output[694]:1
input[82]:1| output[695]:1
input[85]:0| output[696]:0
input[88]:1| output[697]:1
input[91]:0| output[698]:0
input[94]:1| output[699]:1
input[97]:1| output[700]:1
input[100]:1| output[701]:1
input[103]:0| output[702]:0
input[106]:1| output[703]:1
input[109]:1| output[704]:1
input[112]:1| output[705]:1
input[115]:1| output[706]:1
input[118]:1| output[707]:1
input[121]:0| output[708]:0
input[124]:0| output[709]:0
input[127]:1| output[710]:1
input[130]:0| output[711]:0
input[133]:0| output[712]:0
input[136]:0| output[713]:0
input[139]:1| output[714]:1
input[142]:1| output[715]:1
input[145]:0| output[716]:0
input[148]:0| output[717]:0
input[151]:0| output[718]:0
input[154]:1| output[719]:1
input[157]:1| output[720]:1
input[160]:1| output[721]:1
input[163]:1| output[722]:1
input[166]:0| output[723]:0
input[169]:0| output[724]:0
input[172]:0| output[725]:0
input[175]:1| output[726]:1
input[178]:1| output[727]:1
input[181]:0| output[728]:0
input[184]:0| output[729]:0
input[187]:1| output[730]:1
input[190]:0| output[731]:0
input[193]:1| output[732]:1
input[196]:0| output[733]:0
input[199]:0| output[734]:0
input[202]:1| output[735]:1
input[205]:0| output[736]:0
input[208]:0| output[737]:0
input[211]:0| output[738]:0
input[214]:0| output[739]:0
input[217]:0| output[740]:0
input[220]:0| output[741]:0
input[223]:1| output[742]:1
input[226]:0| output[743]:0
input[229]:0| output[744]:0
input[232]:1| output[745]:1
input[235]:0| output[746]:0
input[238]:1| output[747]:1
input[241]:0| output[748]:0
input[244]:0| output[749]:0
input[247]:1| output[750]:1
input[250]:1| output[751]:1
input[253]:1| output[752]:1
input[256]:0| output[753]:0
input[259]:1| output[754]:1
input[262]:1| output[755]:1
input[265]:1| output[756]:1
input[268]:1| output[757]:1
input[271]:1| output[758]:1
input[274]:1| output[759]:1
input[277]:1| output[760]:1
input[280]:1| output[761]:1
input[283]:0| output[762]:0
input[286]:0| output[763]:0
input[289]:0| output[764]:0
input[292]:0| output[765]:0
input[295]:1| output[766]:1
input[298]:0| output[767]:0
input[301]:0| output[768]:0
input[304]:1| output[769]:1
input[307]:0| output[770]:0
input[310]:1| output[771]:1
input[313]:0| output[772]:0
input[316]:0| output[773]:0
input[319]:0| output[774]:0
input[322]:0| output[775]:0
input[325]:1| output[776]:1
input[328]:1| output[777]:1
input[331]:1| output[778]:1
input[334]:1| output[779]:1
input[337]:0| output[780]:0
input[340]:0| output[781]:0
input[343]:1| output[782]:1
input[346]:1| output[783]:1
input[349]:0| output[784]:0
input[352]:1| output[785]:1
input[355]:0| output[786]:0
input[358]:0| output[787]:0
input[361]:1| output[788]:1
input[364]:1| output[789]:1
input[367]:0| output[790]:0
input[370]:0| output[791]:0
input[373]:1| output[792]:1
input[376]:0| output[793]:0
input[379]:0| output[794]:0
input[382]:0| output[795]:0
input[385]:1| output[796]:1
input[388]:1| output[797]:1
input[391]:1| output[798]:1
input[394]:0| output[799]:0
input[397]:0| output[800]:0
input[400]:1| output[801]:1
input[403]:0| output[802]:0
input[406]:0| output[803]:0
input[409]:1| output[804]:1
input[412]:1| output[805]:1
input[415]:1| output[806]:1
input[418]:0| output[807]:0
input[421]:0| output[808]:0
input[424]:1| output[809]:1
input[427]:1| output[810]:1
input[430]:0| output[811]:0
input[433]:0| output[812]:0
input[436]:1| output[813]:1
input[439]:0| output[814]:0
input[442]:0| output[815]:0
input[445]:1| output[816]:1
input[448]:0| output[817]:0
input[451]:0| output[818]:0
input[454]:0| output[819]:0
input[457]:0| output[820]:0
input[460]:1| output[821]:1
input[463]:1| output[822]:1
input[466]:0| output[823]:0
input[469]:0| output[824]:0
input[472]:1| output[825]:1
input[475]:0| output[826]:0
input[478]:0| output[827]:0
input[481]:1| output[828]:1
input[484]:1| output[829]:1
input[487]:1| output[830]:1
input[490]:0| output[831]:0
input[493]:0| output[832]:0
input[496]:1| output[833]:1
input[499]:1| output[834]:1
input[502]:1| output[835]:1
input[505]:1| output[836]:1
input[508]:1| output[837]:1
input[511]:1| output[838]:1
input[514]:1| output[839]:1
input[517]:0| output[840]:0
input[520]:0| output[841]:0
input[523]:1| output[842]:1
input[526]:0| output[843]:0
input[529]:1| output[844]:1
input[532]:1| output[845]:1
input[535]:1| output[846]:1
input[538]:1| output[847]:1
input[541]:0| output[848]:0
input[544]:1| output[849]:1
input[547]:0| output[850]:0
input[550]:0| output[851]:0
input[553]:1| output[852]:1
input[556]:0| output[853]:0
input[559]:0| output[854]:0
input[562]:0| output[855]:0
input[565]:0| output[856]:0
input[568]:0| output[857]:0
input[571]:0| output[858]:0
input[574]:1| output[859]:1
input[577]:1| output[860]:1
input[580]:0| output[861]:0
input[583]:0| output[862]:0
input[586]:0| output[863]:0
input[589]:1| output[864]:1
input[592]:0| output[865]:0
input[595]:0| output[866]:0
input[598]:0| output[867]:0
input[601]:0| output[868]:0
input[604]:1| output[869]:1
input[607]:0| output[870]:0
input[610]:0| output[871]:0
input[613]:1| output[872]:1
input[616]:0| output[873]:0
input[619]:1| output[874]:1
input[622]:1| output[875]:1
input[625]:0| output[876]:0
input[628]:0| output[877]:0
input[631]:1| output[878]:1
input[634]:1| output[879]:1
input[637]:0| output[880]:0
input[640]:1| output[881]:1
input[643]:1| output[882]:1
input[646]:0| output[883]:0
input[649]:1| output[884]:1
input[652]:1| output[885]:1
input[655]:0| output[886]:0
input[658]:0| output[887]:0
input[661]:1| output[888]:1
input[664]:0| output[889]:0
input[667]:1| output[890]:1
input[670]:0| output[891]:0
input[673]:0| output[892]:0
input[676]:1| output[893]:1
input[679]:1| output[894]:1
input[682]:1| output[895]:1
input[685]:1| output[896]:1
input[688]:1| output[897]:1
input[691]:0| output[898]:0
input[694]:0| output[899]:0
input[697]:1| output[900]:1
input[700]:0| output[901]:0
input[703]:1| output[902]:1
input[706]:1| output[903]:1
input[709]:1| output[904]:1
input[712]:1| output[905]:1
input[715]:0| output[906]:0
input[718]:0| output[907]:0
input[721]:1| output[908]:1
input[724]:1| output[909]:1
input[727]:1| output[910]:1
input[730]:1| output[911]:1
input[733]:1| output[912]:1
input[736]:0| output[913]:0
input[739]:1| output[914]:1
input[742]:1| output[915]:1
input[745]:0| output[916]:0
input[748]:1| output[917]:1
input[751]:0| output[918]:0
input[754]:1| output[919]:1
input[757]:1| output[920]:1
input[760]:0| output[921]:0
input[763]:1| output[922]:1
input[766]:1| output[923]:1
input[769]:0| output[924]:0
input[772]:1| output[925]:1
input[775]:0| output[926]:0
input[778]:1| output[927]:1
input[781]:1| output[928]:1
input[784]:0| output[929]:0
input[787]:1| output[930]:1
input[790]:0| output[931]:0
input[793]:1| output[932]:1
input[796]:0| output[933]:0
input[799]:1| output[934]:1
input[802]:0| output[935]:0
input[805]:0| output[936]:0
input[808]:0| output[937]:0
input[811]:0| output[938]:0
input[814]:1| output[939]:1
input[817]:1| output[940]:1
input[820]:0| output[941]:0
input[823]:1| output[942]:1
input[826]:0| output[943]:0
input[829]:1| output[944]:1
input[832]:0| output[945]:0
input[835]:1| output[946]:1
input[838]:1| output[947]:1
input[841]:1| output[948]:1
input[844]:0| output[949]:0
input[847]:0| output[950]:0
input[850]:0| output[951]:0
input[853]:1| output[952]:1
input[856]:1| output[953]:1
input[859]:0| output[954]:0
input[862]:1| output[955]:1
input[865]:1| output[956]:1
input[868]:0| output[957]:0
input[871]:0| output[958]:0
input[874]:1| output[959]:1
input[877]:0| output[960]:0
input[880]:1| output[961]:1
input[883]:1| output[962]:1
input[886]:0| output[963]:0
input[889]:1| output[964]:1
input[892]:1| output[965]:1
input[895]:1| output[966]:1
input[898]:0| output[967]:0
input[901]:1| output[968]:1
input[904]:1| output[969]:1
input[907]:0| output[970]:0
input[910]:1| output[971]:1
input[913]:0| output[972]:0
input[916]:0| output[973]:0
input[919]:0| output[974]:0
input[922]:0| output[975]:0
input[925]:0| output[976]:0
input[928]:0| output[977]:0
input[931]:0| output[978]:0
input[934]:0| output[979]:0
input[937]:1| output[980]:1
input[940]:1| output[981]:1
input[943]:1| output[982]:1
input[946]:1| output[983]:1
input[949]:0| output[984]:0
input[952]:1| output[985]:1
input[955]:0| output[986]:0
input[958]:1| output[987]:1
input[961]:0| output[988]:0
input[964]:1| output[989]:1
input[967]:0| output[990]:0
input[970]:0| output[991]:0
input[973]:1| output[992]:1
input[976]:0| output[993]:0
input[979]:1| output[994]:1
input[982]:0| output[995]:0
input[985]:0| output[996]:0
